Alice:    6, 7, 8, 9, 10, 1, 2, 3, 4, 5
Bob:      6, 8, 7, 10, 9, 11, 12, 13, 14, 15
Charly:   6, 7, 9, 8, 10, 16, 17, 18, 19, 20
David:    7, 6, 8, 9, 10, 21, 22, 23, 24, 1
Eva:      7, 9, 6, 10, 8, 2, 3, 4, 5, 11
Frank:    8, 6, 7, 9, 10, 12, 13, 14, 15, 16
Grace:    8, 7, 6, 10, 9, 17, 18, 19, 20, 21
Heidi:    9, 6, 7, 8, 10, 22, 23, 24, 1, 2
Ivan:     9, 7, 6, 10, 8, 3, 4, 5, 11, 12
Judy:     10, 6, 7, 8, 9, 13, 14, 15, 16, 17
Kevin:    10, 7, 6, 9, 8, 18, 19, 20, 21, 22
Laura:    1, 2, 3, 6, 7, 8, 9, 10, 11, 12
Mallory:  2, 1, 3, 6, 7, 8, 9, 10, 13, 14
Niaj:     3, 1, 2, 6, 7, 8, 9, 10, 15, 16
Olivia:   4, 5, 6, 7, 8, 9, 10, 17, 18, 19
Peggy:    5, 4, 6, 7, 8, 9, 10, 20, 21, 22
Quentin:  11, 12, 13, 6, 7, 8, 9, 10, 23, 24
Rupert:   12, 11, 13, 6, 7, 8, 9, 10, 1, 2
Sybil:    13, 12, 11, 6, 7, 8, 9, 10, 3, 4
Trent:    14, 15, 16, 6, 7, 8, 9, 10, 5, 1
